Index Code,Phase,Module,Type,Title/Description,File Name,Storage Location,Source Category,Notes,Source_Phase
P4.M1.TX01,4,1,TX,Cost comparisons of plant- vs. animal-based food categories,P4_M1_TX01_CostComparison.txt,/ssot/phase4/module1/outputs/,🟢,Uses FAO cost and subsidy data; derived from FAOSTAT commodity database and OECD Producer Support Estimates.,phase4
P4.M1.DT01,4,1,DT,Cost of production by food category and region,P4_M1_DT01_CostOfProduction.csv,/ssot/phase4/module1/data/,🟢,Compiled from FAOStat and OECD databases; derived from FAOSTAT commodity database and OECD Producer Support Estimates.,phase4
P4.M2.TX01,4,2,TX,Labor and infrastructure readiness analysis,P4_M2_TX01_LaborInfraMapping.txt,/ssot/phase4/module2/outputs/,🟢,Uses FAO labor data and WB infrastructure ratings; labor-hour estimates based on FAO AgriLab dataset; infra scores from World Bank Logistics Index.,phase4
P4.M2.DT01,4,2,DT,Labor hours and infrastructure scores by region and food type,P4_M2_DT01_LaborInfraData.csv,/ssot/phase4/module2/data/,🟢,Normalized scores across food system inputs,phase4
P4.M3.TX01,4,3,TX,Trade flows and supply chain chokepoints,P4_M3_TX01_TradeSupplyAnalysis.txt,/ssot/phase4/module3/outputs/,🟢,Maps critical flows and vulnerabilities,phase4
P4.M3.DT01,4,3,DT,Export/import volumes for top 5 plant-based staples,P4_M3_DT01_TradeFlows.csv,/ssot/phase4/module3/data/,🟢,Volume in million metric tons,phase4
P4.M4.TX01,4,4,TX,Transition costs and investment case studies,P4_M4_TX01_TransitionCosts.txt,/ssot/phase4/module4/outputs/,🟡,Uses scenario modeling from FAO and IMF reports; country scenarios synthesized from FAO Investment Centre reports and IMF Global Fiscal Monitor.,phase4
P4.M4.DT01,4,4,DT,Transition investment needs by country and sector,P4_M4_DT01_InvestmentScenarios.csv,/ssot/phase4/module4/data/,🟡,Per capita costs and total needs,phase4
P3.M1.TX01,3,1,TX,Comparative environmental impacts of plant-based vs conventional diets,P3_M1_TX01_ComparativeImpact.txt,/ssot/phase3/module1/outputs/,🟢 A,"Sources include Poore & Nemecek (2018), Clark et al. (2019), IPCC reports",phase3
P3.M2.FG01,3,2,FG,Carbon and biodiversity benefits of land rewilding,P3_M2_FG01_LandRewilding.png,/ssot/phase3/module2/outputs/,🟢 A,Visual summary based on land-use projections and rewilding scenarios,phase3
P3.M2.TX01,3,2,TX,Land sparing and carbon sequestration potential,P3_M2_TX01_LandSparing.txt,/ssot/phase3/module2/outputs/,🟢 A,"Sources include IAM models, Hayek et al. (2021)",phase3
P3.M3.TX01,3,3,TX,Risks and trade-offs of scaling plant-based food systems,P3_M3_TX01_Tradeoffs.txt,/ssot/phase3/module3/outputs/,🟡 B,Includes synthesis of risks from Springmann et al. and Searchinger et al.,phase3
P2.M1.DT01,2,1,DT,Crop allocation by nutrient density,P2_M1_DT01_CropAllocation.csv,/ssot/phase2/module1/data/,🟢 A,"Compiled nutrient-per-hectare data from FAO and peer-reviewed agronomic literature to prioritize land-efficient crops for protein, iron, and calcium delivery.",phase2
P2.M1.FG01,2,1,FG,Bar chart: Protein yield per hectare,P2_M1_FG01_ProteinYieldBarChart.png,/ssot/phase2/module1/outputs/,🟢 A,Visualizes protein yield per hectare for key crops based on synthesized agronomic productivity data. Supports crop selection modeling.,phase2
P2.M1.TX01,2,1,TX,Synthesis summary of crop allocation strategies,P2_M1_TX01_CropAllocationSummary.txt,/ssot/phase2/module1/outputs/,🟢 A,Analytical synthesis integrating nutrient density and land-use efficiency to inform crop prioritization for global plant-based food systems.,phase2
P2.M2.DT01,2,2,DT,Crop yield by climate zone,P2_M2_DT01_YieldByClimate.csv,/ssot/phase2/module2/data/,🟢 A,"Estimates of climate-specific crop yields modeled from FAO GAEZ zones, adjusted for regional productivity data. Used in spatial feasibility modeling.",phase2
P2.M2.TX01,2,2,TX,Summary of crop-climate yield feasibility,P2_M2_TX01_YieldFeasibilitySummary.txt,/ssot/phase2/module2/outputs/,🟢 A,Summarizes comparative yield potential across climate zones. Highlights geographic yield constraints and informs adaptive crop placement.,phase2
P2.M3.DT01,2,3,DT,"Water, GHG, and land trade-offs by crop",P2_M3_DT01_TradeOffMetrics.csv,/ssot/phase2/module3/data/,🟢 A,"Compiled water, GHG, and land-use intensity values per crop from Poore & Nemecek (2018) and FAO environmental datasets for trade-off modeling.",phase2
