Index Code,Module,Type,File Name,QA Status
P1.M1.DT01,1,DT,P1_M1_DT01_NutrientRequirements.csv,✅ PASS
P1.M1.FG01,1,FG,P1_M1_FG01_GlobalNutrientCoverageMap.svg,✅ PASS
P1.M1.TX01,1,TX,P1_M1_TX01_NutrientTargetsSummary.txt,✅ PASS
P1.M2.DT01,2,DT,P1_M2_DT01_NutrientComposition_TopCommodities.csv,✅ PASS
P1.M2.DT02,2,DT,P1_M2_DT02_NutrientAvailabilityByFood.csv,✅ PASS
P1.M2.FG01,2,FG,P1_M2_FG01_NutrientSupplyVsRequirement.svg,✅ PASS
P1.M2.TX01,2,TX,P1_M2_TX01_Method_NutrientAvailability.txt,✅ PASS
P1.M3.DT01,3,DT,P1_M3_DT01_BioavailabilityAdjustmentFactors.csv,✅ PASS
P1.M3.DT02,3,DT,P1_M3_DT02_AdjustedNutrientAvailability.csv,✅ PASS
P1.M3.FG01,3,FG,P1_M3_FG01_AbsorbableVsSupplied.svg,✅ PASS
P1.M3.TX01,3,TX,P1_M3_TX01_BioavailabilityModelingMethod.txt,✅ PASS
P1.M4.DT01,4,DT,P1_M4_DT01_NutrientAdequacyByGroup.csv,✅ PASS
P1.M4.FG01,4,FG,P1_M4_FG01_DeficiencyRiskByNutrient.svg,✅ PASS
P1.M4.TX01,4,TX,P1_M4_TX01_AdequacyModelingMethod.txt,✅ PASS
P1.M5.DT01,5,DT,P1_M5_DT01_SynergyInhibitionMatrix.csv,✅ PASS
P1.M5.FG01,5,FG,P1_M5_FG01_NutrientInteractionMap.svg,✅ PASS
P1.M5.TX01,5,TX,P1_M5_TX01_InteractionAdjustmentMethod.txt,✅ PASS
P1.M6.DT01,6,DT,P1_M6_DT01_MicronutrientRiskByGroup.csv,✅ PASS
P1.M6.FG01,6,FG,P1_M6_FG01_RiskHeatmapByNutrient.svg,✅ PASS
P1.M6.TX01,6,TX,P1_M6_TX01_RiskClassificationMethod.txt,✅ PASS
P1.M7.DT01,7,DT,P1_M7_DT01_BoundaryCaseScenarios.csv,✅ PASS
P1.M7.FG01,7,FG,P1_M7_FG01_BoundaryCaseOutcomes.svg,✅ PASS
P1.M7.TX01,7,TX,P1_M7_TX01_BoundaryTestingMethod.txt,✅ PASS
P1.M6.DT02,6,DT,P1_M6_DT02_RegionalIncomeRiskMatrix.csv,✅ PASS
P1.M6.TX02,6,TX,P1_M6_TX02_NutrientRemediationStrategies.txt,✅ PASS
P1.M7.DT01,7,DT,P1_M7_DT01_DietNutrientMatrix.csv,✅ PASS
P1.M7.TX01,7,TX,P1_M7_TX01_QuantifiedFeasibilityEquation.txt,✅ PASS
P1.M7.DT01,7,DT,P1_M7_DT01_DietNutrientMatrix.csv,✅ PASS
P1.M7.TX01,7,TX,P1_M7_TX01_QuantifiedFeasibilityEquation.txt,✅ PASS
P1.M2.DT01,2,DT,P1_M2_DT01_DIAAS_Scores.csv,✅ PASS
P1.M2.TX01,2,TX,P1_M2_TX01_ProteinQualityAndAminoAcidProfiles.txt,✅ PASS
P1.M2.TX02,2,TX,P1_M2_TX02_CropBreedingForProteinQuality.txt,✅ PASS
P1.M2.FG01,2,FG,P1_M2_FG01_AA_Complementarity.svg,✅ PASS
